Name of Movies,Year of release,Certificates,Duration of movie,Genre,Star,Metascore,Votes
Top Class: The Life and Times of the Sierra Canyon Trailblazers,2021– ,Not Rated,30 min,"Documentary, Sport",9.7,nil,"3,754"
I Am All Girls,2021,TV-MA,107 min,"Crime, Drama, Mystery",5.8,nil,"3,748"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.3,nil,"3,707"
Chad,2021– ,TV-MA,30 min,Comedy,2.7,nil,"3,686"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.5,nil,"3,609"
Fear of Rain,2021,PG-13,109 min,"Drama, Horror, Thriller",5.9,nil,"3,591
| Gross"
The Virtuoso,2021,R,110 min,"Action, Crime, Thriller",4.9,24        ,"3,585"
Pogaru,2021,not rated,160 min,Action,5.7,nil,"3,577"
 Mare of Easttown,2021,TV-MA,58 min,"Crime, Drama, Mystery",8.1,nil,"3,561"
Sultan,2021,TV-MA,145 min,"Action, Drama",6.4,nil,"3,551"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.3,nil,"3,549"
Batman: Soul of the Dragon,2021,R,83 min,"Animation, Action, Adventure",6.1,nil,"3,544"
 One Piece,1999– ,TV-14,24 min,"Animation, Action, Adventure",9.7,nil,"3,530"
Siyavash,2021– ,TV-14,50 min,Drama,6.2,nil,"3,517"
 Lucifer,2016– ,TV-14,60 min,"Crime, Drama, Fantasy",7.6,nil,"3,511"
Us Again,2021,G,7 min,"Animation, Short, Drama",8.0,nil,"3,506"
Naandhi,2021,not rated,146 min,"Crime, Drama, Thriller",8.4,nil,"3,486"
Bombay Begums,2021– ,TV-MA,50 min,Drama,4.9,nil,"3,486"
Tiger,2021,TV-MA,192 min,"Documentary, Biography, Sport",7.8,nil,"3,484"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.3,nil,"3,482"
Yasuke,2021– ,TV-MA,30 min,"Animation, Action, Adventure",6.3,nil,"3,474"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.3,nil,"3,458"
Silence: Can You Hear It,2021,not rated,136 min,"Crime, Thriller",6.6,nil,"3,425"
The Mighty Ducks: Game Changers,2021– ,TV-PG,nil,"Comedy, Drama, Sport",7.5,nil,"3,423"
Saina,2021,not rated,135 min,"Biography, Drama, Sport",4.2,nil,"3,413"
Yuvarathnaa,2021,not rated,161 min,"Action, Drama",6.6,nil,"3,402"
A Week Away,2021,TV-PG,94 min,"Drama, Family, Musical",5.7,32        ,"3,357"
Maara,2021,not rated,149 min,"Adventure, Drama, Mystery",7.7,nil,"3,356"
Pelé,2021,TV-14,108 min,"Documentary, Biography, Sport",7.0,61        ,"3,348"
Pacific Rim: The Black,2021– ,TV-14,24 min,"Animation, Action, Adventure",7.1,nil,"3,327"
The Minimalists: Less Is Now,2021,TV-14,53 min,Documentary,5.9,nil,"3,302"
 Mare of Easttown,2021,TV-MA,58 min,"Crime, Drama, Mystery",8.7,nil,"3,275"
 Jujutsu Kaisen,2020– ,TV-MA,24 min,"Animation, Action, Adventure",9.6,nil,"3,270"
Good on Paper,2021,R,92 min,"Comedy, Romance",5.6,54        ,"3,258"
Horimiya,I 2021– ,TV-14,24 min,"Animation, Comedy, Drama",8.3,nil,"3,232"
Ray,2021– ,TV-14,65 min,"Crime, Drama, Thriller",7.8,nil,"3,223"
Mushoku Tensei: Jobless Reincarnation,2021– ,TV-14,24 min,"Animation, Adventure, Fantasy",8.4,nil,"3,216"
Hello Charlie,2021,not rated,102 min,Comedy,5.6,nil,"3,179"
